abb,birth_rate,country_x,fertility_rate,gdp,pschool_enrollment,tschool_enrollment,infant_mortality,life_expectancy,maternal_mortality_ratio,minimum_wage,oop_healthcare,physicians_per1000,population,unemployment,country_y,year,region10_ori,iso3,Emigrants_males,Emigrants_females,Emigrants_males_HS,Emigrants_females_HS,Emigrants_HS_total,Labor_males_HS,Labor_females_HS,Labor_HS,Labor,Labor_LS,Labor_females_LS,Labor_males_LS,popf014,popm014,Emigrants_014_female,Emigrants_014_male
AFG,32.49,Afghanistan,4.47,"$19,101,353,833 ",104.00%,9.70%,47.9,64.5,638.0,$0.43 ,78.40%,0.28,"38,041,754",11.12%,Afghanistan,2020.0,SA,AFG,2592511.0,2091406.0,199099.0,114867.0,313966.0,913010.0,195448.0,1124901.0,22647496.0,21522594.0,10809482.0,10729555.0,7947146.0,8333700.0,465982.0,563018.0
ALB,11.78,Albania,1.62,"$15,278,077,447 ",107.00%,55.00%,7.8,78.5,15.0,$1.12 ,56.90%,1.2,"2,854,191",12.33%,Albania,2020.0,ECA-OTH,ALB,500728.0,497361.0,73776.0,95576.0,169352.0,125250.0,92899.0,218361.0,2348722.0,2130361.0,1069069.0,1061504.0,231501.0,257626.0,35287.0,45140.0
DZA,24.28,Algeria,3.02,"$169,988,236,398 ",109.90%,51.40%,20.1,76.7,112.0,$0.95 ,28.10%,1.72,"43,053,054",11.70%,Algeria,2020.0,MENA-OTH,DZA,863174.0,843606.0,247313.0,234235.0,481548.0,1245680.0,1494801.0,2734122.0,30352152.0,27618030.0,13593534.0,14018136.0,6608900.0,6889992.0,16369.0,56175.0
AND,7.2,Andorra,1.27,"$3,154,057,987 ",106.40%,,2.7,,,$6.63 ,36.40%,3.33,"77,142",,Andorra,2020.0,ECA-HIC,AND,4256.0,4470.0,1608.0,1975.0,3583.0,,,,,,,,,,489.0,430.0
AGO,40.73,Angola,5.52,"$94,635,415,870 ",113.50%,9.30%,51.6,60.8,241.0,$0.71 ,33.40%,0.21,"31,825,295",6.89%,Angola,2020.0,SSA,AGO,261940.0,271162.0,52097.0,54591.0,106688.0,47667.0,34679.0,82270.0,17617840.0,17535570.0,8980643.0,8554850.0,7590076.0,7658353.0,41403.0,44123.0
ATG,15.33,Antigua and Barbuda,1.99,"$1,727,759,259 ",105.00%,24.80%,5.0,76.9,42.0,$3.04 ,24.30%,2.76,"97,118",,Antigua and Barbuda,2020.0,LAC,ATG,14305.0,17227.0,6331.0,7849.0,14180.0,5122.0,7891.0,13013.0,76531.0,63518.0,32214.0,31304.0,10554.0,10843.0,1254.0,743.0
ARG,17.02,Argentina,2.26,"$449,663,446,954 ",109.70%,90.00%,8.8,76.5,39.0,$3.35 ,17.60%,3.96,"44,938,712",9.79%,Argentina,2020.0,LAC,ARG,489702.0,491763.0,189431.0,196277.0,385708.0,237143.0,830439.0,1003291.0,34288808.0,33285518.0,16967224.0,16254003.0,5441658.0,5646296.0,30528.0,32720.0
ARM,13.99,Armenia,1.76,"$13,672,802,158 ",92.70%,54.60%,11.0,74.9,26.0,$0.66 ,81.60%,4.4,"2,957,731",16.99%,Armenia,2020.0,ECA-OTH,ARM,496314.0,433844.0,126786.0,126795.0,253581.0,251687.0,325272.0,578575.0,2345922.0,1767347.0,954318.0,814646.0,289898.0,327414.0,19133.0,17268.0
AUS,12.6,Australia,1.74,"$1,392,680,589,329 ",100.30%,113.10%,3.1,82.7,6.0,$13.59 ,19.60%,3.68,"25,766,605",5.27%,Australia,2020.0,EAP-HIC,AUS,283139.0,275220.0,154109.0,155466.0,309575.0,2302878.0,2709742.0,5025884.0,20736410.0,15710526.0,7775254.0,7948536.0,2413342.0,2543515.0,20344.0,25287.0
AUT,9.7,Austria,1.47,"$446,314,739,528 ",103.10%,85.10%,2.9,81.6,5.0,,17.90%,5.17,"8,877,067",4.67%,Austria,2020.0,ECA-HIC,AUT,239417.0,265707.0,90545.0,88340.0,178885.0,701627.0,651745.0,1349522.0,7631748.0,6282226.0,3246952.0,3031424.0,622613.0,662503.0,19309.0,16344.0
AZE,14.0,Azerbaijan,1.73,"$39,207,000,000 ",99.70%,27.70%,19.2,72.9,26.0,$0.47 ,78.60%,3.45,"10,023,318",5.51%,Azerbaijan,2020.0,ECA-OTH,AZE,598824.0,510675.0,155180.0,147591.0,302771.0,590139.0,499364.0,1090482.0,7719692.0,6629210.0,3443371.0,3186818.0,1108727.0,1264702.0,22759.0,16555.0
BHS,13.97,The Bahamas,1.75,"$12,827,000,000 ",81.40%,15.10%,8.3,73.8,70.0,$5.25 ,27.80%,1.94,"389,482",10.36%,"Bahamas, The",2020.0,LAC,BHS,19517.0,23623.0,10002.0,14871.0,24873.0,36815.0,52419.0,89067.0,308301.0,219235.0,107993.0,111074.0,41743.0,43204.0,2294.0,1087.0
BHR,13.99,Bahrain,1.99,"$38,574,069,149 ",99.40%,50.50%,6.1,77.2,14.0,,25.10%,0.93,"1,501,635",0.71%,Bahrain,2020.0,GCC,BHR,19797.0,28145.0,10438.0,13027.0,23465.0,112816.0,67219.0,175842.0,1390494.0,1214652.0,382045.0,828414.0,151845.0,159244.0,5915.0,3874.0
BGD,18.18,Bangladesh,2.04,"$302,571,254,131 ",116.50%,20.60%,25.1,72.3,173.0,$0.51 ,71.80%,0.58,"167,310,838",4.19%,Bangladesh,2020.0,SA,BGD,4721825.0,2328544.0,953197.0,304005.0,1257202.0,5719430.0,2702666.0,8459605.0,120627488.0,112167880.0,57170308.0,55035088.0,21557302.0,22504586.0,90452.0,255649.0
BRB,10.65,Barbados,1.62,"$5,209,000,000 ",99.40%,65.40%,11.3,79.1,27.0,$3.13 ,45.20%,2.48,"287,025",10.33%,Barbados,2020.0,LAC,BRB,44187.0,54847.0,18961.0,27862.0,46823.0,5086.0,7869.0,12838.0,239206.0,226368.0,116737.0,109514.0,23681.0,24484.0,1537.0,1857.0
BLR,9.9,Belarus,1.45,"$63,080,457,023 ",100.50%,87.40%,2.6,74.2,2.0,$1.49 ,34.50%,5.19,"9,466,856",4.59%,Belarus,2020.0,ECA-OTH,BLR,583499.0,756133.0,216822.0,265843.0,482665.0,718697.0,1032792.0,1750236.0,7762815.0,6012580.0,3190092.0,2821234.0,789997.0,827140.0,94568.0,41320.0
BEL,10.3,Belgium,1.62,"$529,606,710,418 ",103.90%,79.70%,2.9,81.6,5.0,$10.31 ,17.60%,3.07,"11,484,055",5.59%,Belgium,2020.0,ECA-HIC,BEL,239963.0,262394.0,112123.0,120166.0,232289.0,1009797.0,1085062.0,2108648.0,9577799.0,7469151.0,3784398.0,3698542.0,952936.0,1013506.0,19890.0,10768.0
BLZ,20.79,Belize,2.31,"$1,879,613,600 ",111.70%,24.70%,11.2,74.5,36.0,$1.65 ,22.70%,1.12,"390,353",6.41%,Belize,2020.0,LAC,BLZ,22816.0,32331.0,10240.0,14789.0,25029.0,5036.0,5404.0,10425.0,281518.0,271093.0,137266.0,133812.0,57190.0,58913.0,822.0,1575.0
BEN,36.22,Benin,4.84,"$14,390,709,095 ",122.00%,12.30%,60.5,61.5,397.0,$0.39 ,40.50%,0.08,"11,801,151",2.23%,Benin,2020.0,SSA,BEN,329331.0,288845.0,28005.0,15316.0,43321.0,142650.0,63994.0,208963.0,7038177.0,6829214.0,3499156.0,3332377.0,2505800.0,2579221.0,24641.0,34186.0
BTN,17.26,Bhutan,1.98,"$2,446,674,101 ",100.10%,15.60%,24.8,71.5,183.0,$0.32 ,19.80%,0.42,"727,145",2.34%,Bhutan,2020.0,SA,BTN,51539.0,50086.0,8153.0,5596.0,13749.0,31328.0,12906.0,44127.0,579521.0,535394.0,254092.0,281195.0,94527.0,97564.0,2115.0,2140.0
BOL,21.75,Bolivia,2.73,"$40,895,322,865 ",98.20%,,21.8,71.2,155.0,$1.36 ,25.90%,1.59,"11,513,100",3.50%,Bolivia,2020.0,LAC,BOL,394633.0,456142.0,68193.0,80456.0,148649.0,675362.0,609153.0,1281428.0,8147430.0,6866002.0,3481317.0,3381598.0,1724540.0,1801059.0,57824.0,55224.0
BIH,8.11,Bosnia and Herzegovina,1.27,"$20,047,848,435 ",,23.30%,5.0,77.3,10.0,$1.04 ,28.60%,2.16,"3,301,000",18.42%,Bosnia and Herzegovina,2020.0,ECA-OTH,BIH,779627.0,820043.0,160769.0,166725.0,327494.0,291275.0,300931.0,592298.0,2804363.0,2212065.0,1141608.0,1070550.0,231668.0,244784.0,28409.0,24514.0
BWA,24.82,Botswana,2.87,"$18,340,510,789 ",103.20%,24.90%,30.0,69.3,144.0,$0.29 ,5.30%,0.37,"2,346,179",18.19%,Botswana,2020.0,SSA,BWA,34923.0,20202.0,7078.0,3771.0,10849.0,50645.0,31610.0,82940.0,1566092.0,1483152.0,792644.0,691193.0,388272.0,397261.0,1642.0,1570.0
BRA,13.92,Brazil,1.73,"$1,839,758,040,766 ",115.40%,51.30%,12.8,75.7,60.0,$1.53 ,28.30%,2.15,"212,559,417",12.08%,Brazil,2020.0,LAC,BRA,731863.0,953409.0,272864.0,379918.0,652782.0,6058040.0,8260501.0,14246692.0,168540064.0,154293376.0,78336640.0,75884872.0,21526480.0,22492872.0,111347.0,99251.0
BRN,14.9,Brunei,1.85,"$13,469,422,941 ",103.20%,31.40%,9.8,75.7,31.0,,6.00%,1.61,"433,285",9.12%,Brunei Darussalam,2020.0,EAP-HIC,BRN,22314.0,16988.0,6013.0,5749.0,11762.0,11149.0,14368.0,25425.0,339819.0,314394.0,148759.0,165543.0,47369.0,50295.0,2746.0,4198.0
BGR,8.9,Bulgaria,1.56,"$86,000,000,000 ",89.30%,71.00%,5.9,74.9,10.0,$1.57 ,47.70%,4.03,"6,975,761",4.34%,Bulgaria,2020.0,ECA-HIC,BGR,608071.0,900755.0,165311.0,232610.0,397921.0,382064.0,555319.0,948061.0,5916139.0,4968078.0,2516814.0,2461943.0,494769.0,523107.0,107154.0,38690.0
BFA,37.93,Burkina Faso,5.19,"$15,745,810,235 ",96.10%,6.50%,49.0,61.2,320.0,$0.34 ,36.10%,0.08,"20,321,378",6.26%,Burkina Faso,2020.0,SSA,BFA,828543.0,644390.0,18451.0,10892.0,29343.0,132720.0,50925.0,184102.0,11628432.0,11444330.0,5852796.0,5591991.0,4554844.0,4720002.0,61710.0,68537.0
BDI,39.01,Burundi,5.41,"$3,012,334,882 ",121.40%,6.10%,41.0,61.2,548.0,,19.10%,0.1,"11,530,580",1.43%,Burundi,2020.0,SSA,BDI,224332.0,224726.0,19581.0,17660.0,37241.0,46726.0,14112.0,59436.0,6509974.0,6450538.0,3306351.0,3142785.0,2670454.0,2710353.0,51235.0,50392.0
CIV,35.74,Ivory Coast,4.65,"$58,792,205,642 ",99.80%,9.30%,59.4,57.4,617.0,$0.36 ,36.00%,0.23,"25,716,544",3.32%,Cote d'Ivoire,2020.0,SSA,CIV,480422.0,486941.0,82138.0,49412.0,131550.0,270062.0,144141.0,409487.0,15429056.0,15019569.0,7486425.0,7528429.0,5447329.0,5501890.0,102092.0,102057.0
CPV,19.49,Cape Verde,2.27,"$1,981,845,741 ",104.00%,23.60%,16.7,72.8,58.0,$0.68 ,23.20%,0.77,"483,628",12.25%,Cabo Verde,2020.0,SSA,CPV,78548.0,101657.0,13986.0,19277.0,33263.0,11521.0,7943.0,19444.0,399859.0,380415.0,191833.0,188562.0,77095.0,79034.0,6812.0,5998.0
KHM,22.46,Cambodia,2.5,"$27,089,389,787 ",107.40%,13.70%,24.0,69.6,160.0,,59.40%,0.17,"16,486,542",0.68%,Cambodia,2020.0,EAP-OTH,KHM,424317.0,498647.0,64533.0,54225.0,118758.0,252568.0,85564.0,344034.0,11548640.0,11204606.0,5940041.0,5270468.0,2530943.0,2639388.0,86851.0,77383.0
CMR,35.39,Cameroon,4.57,"$38,760,467,033 ",103.40%,12.80%,50.6,58.9,529.0,$0.35 ,69.70%,0.09,"25,876,380",3.38%,Cameroon,2020.0,SSA,CMR,205759.0,215690.0,82731.0,77112.0,159843.0,285073.0,184632.0,474308.0,15379629.0,14905321.0,7550247.0,7359678.0,5533911.0,5632324.0,22584.0,22948.0
CAN,10.1,Canada,1.5,"$1,736,425,629,520 ",100.90%,68.90%,4.3,81.9,10.0,$9.51 ,14.60%,2.61,"36,991,981",5.56%,Canada,2020.0,NOAM,CAN,638007.0,712353.0,411634.0,457795.0,869429.0,3896167.0,4852592.0,8748913.0,32036738.0,23287824.0,11376270.0,11911710.0,2929727.0,3070739.0,44004.0,47053.0
CAF,35.35,Central African Republic,4.72,"$2,220,307,369 ",102.00%,3.00%,84.5,52.8,829.0,$0.37 ,39.60%,0.06,"4,745,185",3.68%,Central African Republic,2020.0,SSA,CAF,363970.0,361438.0,13986.0,8728.0,22714.0,20287.0,8884.0,29231.0,2726801.0,2697570.0,1381462.0,1316168.0,1045376.0,1057587.0,47499.0,46609.0
TCD,42.17,Chad,5.75,"$11,314,951,343 ",86.80%,3.30%,71.4,54.0,1140.0,$0.60 ,56.40%,0.04,"15,946,876",1.89%,Chad,2020.0,SSA,TCD,102359.0,86248.0,9949.0,4870.0,14819.0,135128.0,49178.0,184744.0,8789432.0,8604688.0,4375309.0,4229817.0,3801202.0,3835225.0,16283.0,18918.0
CHL,12.43,Chile,1.65,"$282,318,159,745 ",101.40%,88.50%,6.2,80.0,13.0,$2.00 ,32.20%,2.59,"18,952,038",7.09%,Chile,2020.0,LAC,CHL,303222.0,318542.0,94893.0,96133.0,191026.0,1020804.0,918122.0,1955285.0,15438493.0,13483208.0,6966137.0,6533431.0,1806281.0,1871435.0,10850.0,11227.0
CHN,10.9,China,1.69,"$19,910,000,000,000 ",100.20%,50.60%,7.4,77.0,29.0,$0.87 ,32.40%,1.98,"1,397,715,000",4.32%,China,2020.0,EAP-OTH,CHN,4203668.0,5151480.0,2083082.0,2252498.0,4335580.0,27101312.0,18752576.0,46237736.0,1161168640.0,1114930944.0,552102080.0,563212608.0,116474339.0,133457089.0,746781.0,596022.0
COL,14.88,Colombia,1.81,"$323,802,808,108 ",114.50%,55.30%,12.2,77.1,83.0,$1.23 ,18.30%,2.18,"50,339,443",9.71%,Colombia,2020.0,LAC,COL,1222603.0,1502210.0,375874.0,491495.0,867369.0,4664958.0,3423781.0,8046150.0,39595244.0,31549094.0,16958294.0,14548212.0,5516246.0,5771394.0,165129.0,153573.0
COM,31.88,Comoros,4.21,"$1,185,728,677 ",99.50%,9.00%,51.3,64.1,273.0,$0.71 ,74.80%,0.27,"850,886",4.34%,Comoros,2020.0,SSA,COM,35369.0,34747.0,7875.0,6156.0,14031.0,34474.0,27805.0,62297.0,530281.0,467984.0,236533.0,231469.0,166604.0,172710.0,7128.0,7244.0
COG,32.86,Republic of the Congo,4.43,"$10,820,591,131 ",106.60%,12.70%,36.2,64.3,378.0,$0.88 ,43.80%,0.12,"5,380,508",9.47%,"Congo, Rep.",2020.0,SSA,COG,107228.0,116664.0,36837.0,29808.0,66645.0,20594.0,20577.0,43264.0,3240760.0,3197496.0,1612520.0,1587069.0,1128317.0,1149015.0,12139.0,13621.0
CRI,13.97,Costa Rica,1.75,"$61,773,944,174 ",113.30%,55.20%,7.6,80.1,27.0,$1.84 ,21.50%,2.89,"5,047,561",11.85%,Costa Rica,2020.0,LAC,CRI,68896.0,73298.0,26817.0,33353.0,60170.0,254683.0,325693.0,576815.0,4033110.0,3456295.0,1705193.0,1747541.0,518152.0,542852.0,5894.0,6270.0
HRV,9.0,Croatia,1.47,"$60,415,553,039 ",96.50%,67.90%,4.0,78.1,8.0,$2.92 ,15.20%,3.0,"4,067,500",6.93%,Croatia,2020.0,ECA-HIC,HRV,448937.0,495385.0,95222.0,108645.0,203867.0,187389.0,256500.0,440134.0,3459084.0,3018950.0,1554045.0,1461150.0,285608.0,302988.0,22966.0,23190.0
CUB,10.17,Cuba,1.62,"$100,023,000,000 ",101.90%,41.40%,3.7,78.7,36.0,$0.05 ,,8.42,"11,333,483",1.64%,Cuba,2020.0,LAC,CUB,798214.0,835150.0,317676.0,343477.0,661153.0,502795.0,822437.0,1319649.0,9523337.0,8203688.0,4004073.0,4194032.0,876638.0,926641.0,28317.0,27007.0
CYP,10.46,Cyprus,1.33,"$24,564,647,935 ",99.30%,75.90%,1.9,80.8,6.0,,43.90%,1.95,"1,198,575",7.27%,Cyprus,2020.0,ECA-HIC,CYP,50142.0,59304.0,17491.0,20943.0,38434.0,129782.0,142243.0,272854.0,1007213.0,734359.0,364520.0,370668.0,97084.0,103064.0,4079.0,3929.0
CZE,10.7,Czech Republic,1.69,"$246,489,245,495 ",100.70%,64.10%,2.7,79.0,3.0,$3.00 ,14.80%,4.12,"10,669,709",1.93%,Czech Republic,2020.0,ECA-HIC,CZE,312469.0,436910.0,113413.0,159857.0,273270.0,397491.0,482397.0,873477.0,9012352.0,8138875.0,4128550.0,4003914.0,819866.0,865640.0,28640.0,22085.0
COD,41.18,Democratic Republic of the Congo,5.92,"$47,319,624,204 ",108.00%,6.60%,68.2,60.4,473.0,$0.18 ,37.40%,0.07,"86,790,567",4.24%,,,,,,,,,,,,,,,,,,,,
DNK,10.6,Denmark,1.73,"$348,078,018,464 ",101.30%,80.60%,3.6,81.0,4.0,,13.70%,4.01,"5,818,553",4.91%,Denmark,2020.0,ECA-HIC,DNK,107312.0,113868.0,46950.0,53901.0,100851.0,499543.0,707306.0,1204816.0,4881947.0,3677131.0,1763372.0,1911726.0,461878.0,487579.0,8199.0,7063.0
DJI,21.47,Djibouti,2.73,"$3,318,716,359 ",75.30%,5.30%,49.8,66.6,248.0,,20.40%,0.22,"973,560",10.30%,Djibouti,2020.0,MENA-OTH,DJI,8815.0,9245.0,2887.0,2947.0,5834.0,21367.0,14478.0,35581.0,702349.0,666768.0,317237.0,349267.0,137294.0,148359.0,577.0,1569.0
DMA,12.0,Dominica,1.9,"$596,033,333 ",114.70%,7.20%,32.9,76.6,,$1.48 ,28.40%,1.08,"71,808",,Dominica,2020.0,LAC,DMA,25805.0,35718.0,8942.0,13984.0,22926.0,,,,,,,,,,2223.0,1914.0
DOM,19.51,Dominican Republic,2.35,"$88,941,298,258 ",105.70%,59.90%,24.1,73.9,95.0,$0.40 ,43.70%,1.56,"10,738,958",5.84%,Dominican Republic,2020.0,LAC,DOM,631881.0,829464.0,191241.0,270831.0,462072.0,470604.0,685580.0,1155036.0,7871311.0,6716275.0,3285805.0,3429322.0,1458313.0,1518280.0,71360.0,61280.0
ECU,19.72,Ecuador,2.43,"$107,435,665,000 ",103.30%,44.90%,12.2,76.8,59.0,$2.46 ,43.70%,2.04,"17,373,662",3.97%,Ecuador,2020.0,LAC,ECU,532656.0,577764.0,152990.0,181223.0,334213.0,585222.0,691318.0,1270268.0,12810285.0,11540017.0,5764769.0,5768977.0,2363146.0,2469629.0,73435.0,64395.0
EGY,26.38,Egypt,3.33,"$303,175,127,598 ",106.30%,35.20%,18.1,71.8,37.0,,62.00%,0.45,"100,388,073",10.76%,"Egypt, Arab Rep.",2020.0,MENA-OTH,EGY,2125869.0,1141227.0,660992.0,364974.0,1025966.0,4270120.0,1689066.0,6042659.0,67621520.0,61578860.0,32099006.0,29563332.0,16843470.0,17869409.0,118021.0,210431.0
SLV,18.25,El Salvador,2.04,"$27,022,640,000 ",94.80%,29.40%,11.8,73.1,46.0,$0.50 ,27.90%,1.57,"6,453,553",4.11%,El Salvador,2020.0,LAC,SLV,764826.0,772122.0,148372.0,163383.0,311755.0,136774.0,137018.0,272309.0,4761482.0,4489173.0,2469869.0,2017821.0,842890.0,881829.0,43892.0,45591.0
GNQ,33.24,Equatorial Guinea,4.51,"$11,026,774,945 ",61.80%,1.90%,62.6,58.4,301.0,$1.05 ,72.00%,0.4,"1,355,986",6.43%,Equatorial Guinea,2020.0,SSA,GNQ,61662.0,55779.0,2886.0,2617.0,5503.0,42831.0,9352.0,51142.0,886976.0,835834.0,358691.0,476102.0,254562.0,261447.0,2983.0,1438.0
ERI,30.3,Eritrea,4.06,"$2,065,001,626 ",68.40%,3.40%,31.3,65.9,480.0,,52.40%,0.06,"6,333,135",5.14%,Eritrea,2020.0,SSA,ERI,351896.0,309628.0,71907.0,38443.0,110350.0,,,,,,,,,,54573.0,59302.0
EST,10.9,Estonia,1.59,"$31,386,949,981 ",97.20%,69.60%,2.1,78.2,9.0,$3.14 ,22.80%,4.48,"1,331,824",5.11%,Estonia,2020.0,ECA-HIC,EST,72894.0,94697.0,25506.0,38360.0,63866.0,84362.0,159395.0,241611.0,1110140.0,868529.0,433790.0,432593.0,106445.0,112894.0,3270.0,3046.0
SWZ,,Eswatini,,"$3,791,304,348 ",,,,,,,11.30%,,"1,093,238",,Eswatini,2020.0,SSA,SWZ,22045.0,23530.0,2040.0,2019.0,4059.0,4072.0,8496.0,12411.0,725765.0,713354.0,365610.0,347587.0,215822.0,218577.0,1753.0,1854.0
ETH,32.34,Ethiopia,4.25,"$96,107,662,398 ",101.00%,8.10%,39.1,66.2,401.0,,37.80%,0.08,"112,078,730",2.08%,Ethiopia,2020.0,SSA,ETH,481110.0,398531.0,141262.0,106364.0,247626.0,785441.0,364297.0,1150744.0,69072832.0,67922088.0,34431592.0,33491506.0,22650860.0,23239887.0,56273.0,62200.0
FJI,21.28,Fiji,2.77,"$5,535,548,972 ",106.40%,16.10%,21.6,67.3,34.0,$1.28 ,21.40%,0.84,"889,953",4.10%,Fiji,2020.0,EAP-OTH,FJI,105735.0,118984.0,39637.0,49005.0,88642.0,10464.0,10259.0,20701.0,636377.0,615676.0,305223.0,310431.0,126944.0,133123.0,1123.0,1181.0
FIN,8.6,Finland,1.41,"$268,761,201,365 ",100.20%,88.20%,1.4,81.7,3.0,,19.90%,3.81,"5,520,314",6.59%,Finland,2020.0,ECA-HIC,FIN,103103.0,165162.0,37755.0,75258.0,113013.0,318200.0,300670.0,641316.0,4652275.0,4010959.0,2073538.0,1959867.0,428440.0,448828.0,6805.0,4928.0
FRA,11.3,France,1.88,"$2,715,518,274,227 ",102.50%,65.60%,3.4,82.5,8.0,$11.16 ,6.80%,3.27,"67,059,887",8.43%,France,2020.0,ECA-HIC,FRA,934046.0,1005665.0,466615.0,488839.0,955454.0,3980174.0,3774606.0,7864984.0,55484888.0,47619904.0,25182866.0,22547244.0,5813847.0,6081170.0,63077.0,65380.0
GAB,31.61,Gabon,3.97,"$16,657,960,228 ",139.90%,8.30%,32.7,66.2,252.0,$1.46 ,25.90%,0.68,"2,172,579",20.00%,Gabon,2020.0,SSA,GAB,26198.0,31364.0,8673.0,9646.0,18319.0,35437.0,78391.0,112586.0,1396332.0,1283746.0,603626.0,678878.0,410857.0,418539.0,4094.0,4854.0
